ABANDON	AH.B.AE.N.D.AH.N
PRO	P.R.OW
PROCEEDING	P.R.OW.S.IY.D.IH.NG
PRODUCT	P.R.AA.D.AH.K.T
PROFILE	P.R.OW.F.AY.L
PROGENY	P.R.AA.JH.AH.N.IY
PROGRESS	P.R.OW.G.R.EH.S
PROHIBIT	P.R.OW.HH.IH.B.AH.T
PRONOUNCE	P.R.AH.N.AW.N.S
PROSODIC	P.R.OW.Z.AA.D.IH.K
PROSPEROUS	P.R.AA.S.P.ER.AH.S
PROVE	P.R.UW.V
PSYCHOPATH	S.AY.K.OW.P.AE.TH
PULPIT	P.UH.L.P.IH.T
PUZZLE	P.AH.Z.AH.L
QUARTER	K.W.AO.R.T.ER
QUARTET	K.W.AO.R.T.EH.T
QUEER	K.W.IH.R
QUIVER	K.W.IH.V.ER
RADIATOR	R.EY.D.IY.EY.T.ER
RAG	R.AE.G
RAINSTORM	R.EY.N.S.T.AO.R.M
RAPTURE	R.AE.P.CH.ER
RATIFY	R.AE.T.AH.F.AY
READING	R.IY.D.IH.NG
REBUFF	R.IY.B.AH.F
RECESS	R.IY.S.EH.S
RECLAIM	R.IY.K.L.EY.M
REFORM	R.IH.F.AO.R.M
REGARD	R.IH.G.AA.R.D
REGULAR	R.EY.G.Y.AH.L.ER
REITERATE	R.IY.IH.T.ER.EY.T
REJECTION	R.IY.JH.EH.K.SH.AH.N
RELATIVE	R.EH.L.AH.T.IH.V
REMNANT	R.EH.M.N.AH.N.T
REMOVE	R.IY.M.UW.V
RENDER	R.EH.N.D.ER
RENEW	R.IH.N.UW
REPARATION	R.EH.P.ER.EY.SH.AH.N
REPEAL	R.IY.P.IY.L
REPROBATE	R.EH.P.R.AO.B.EY.T
REQUIRE	R.IY.K.W.AY.ER
RESCUE	R.EH.S.K.Y.UW
RESIDUAL	R.IH.Z.IH.JH.UW.AH.L
RESOUND	R.IY.Z.AW.N.D
RESTOCK	R.IY.S.T.AA.K
RESTRAINT	R.IY.S.T.R.EY.N.T
REUNION	R.IY.UW.N.Y.AH.N
REWARD	R.IY.W.AO.R.D
RIDDLE	R.IH.D.AH.L
RIDGE	R.IH.JH
RIGHTLY	R.AY.T.L.IY
RIGOROUS	R.IH.G.ER.AH.S
RIM	R.IH.M
RINSE	R.IH.N.S
ROADWAY	R.OW.D.W.EY
ROBE	R.OW.B
ROEMER	R.OW.M.ER
ROSE	R.OW.Z
ROUNDING	R.AW.N.D.IH.NG
ROUTINE	R.UW.T.IY.N
RUBBISH	R.AH.B.IH.SH
RUBRIC	R.UW.B.R.IH.K
RUBY	R.UW.B.IY
RUE	R.UW
RUIN	R.UW.IH.N
RUNAWAY	R.AH.N.AH.W.EY
RUSH	R.AH.SH
RUT	R.AH.T
SADDLE	S.AE.D.AH.L
SAINTED	S.EY.N.T.IH.D
SANDWICH	S.AE.N.W.IH.CH
SAP	S.AE.P
SARCASM	S.AA.R.K.AE.Z.AH.M
SCAMPER	S.K.AE.M.P.ER
SCANTY	S.K.AE.N.T.IY
SCHOOLMATE	S.K.UW.L.M.EY.T
SCHOOLROOM	S.K.UW.L.R.UW.M
SCOURGE	S.K.ER.JH
SCOUT	S.K.AW.T
SCRATCH	S.K.R.AE.CH
SCULPTURE	S.K.AH.L.P.CH.ER
SCURRILOUS	S.K.ER.AH.L.AH.S
SEASHORE	S.IY.SH.AO.R
SECRETE	S.IH.K.R.IY.T
SEE	S.IY
SELF	S.EH.L.F
SERENADE	S.EH.R.AH.N.EY.D
SERPENT	S.ER.P.AH.N.T
SERVANT	S.ER.V.AH.N.T
SERVICE	S.ER.V.IH.S
SERVILE	S.ER.V.AH.L
SHABBY	SH.AE.B.IY
SHALL	SH.AE.L
SHARE	SH.EH.R
SHARECROP	SH.EH.R.K.R.AA.P
SHEEP	SH.IY.P
SHEIK	SH.IY.K
SHIFT	SH.IH.F.T
SHINGLE	SH.IH.NG.G.AH.L
SHIVER	SH.IH.V.ER
SHOCKER	SH.AA.K.ER
SHOPWORN	SH.AA.P.W.AO.R.N
SHOULD	SH.UH.D
SHRIMP	SH.R.IH.M.P
SHRINK	SH.R.IH.NG.K
SIEVE	S.IH.V
SIMPLIFY	S.IH.M.P.L.AH.F.AY
SISTER	S.IH.S.T.ER
SIXTY	S.IH.K.S.T.IY
SIZE	S.AY.Z
SKILL	S.K.IH.L
SKINNY	S.K.IH.N.IY
SKIP	S.K.IH.P
SKIPPER	S.K.IH.P.ER
SLAT	S.L.AE.T
SLATE	S.L.EY.T
SLIT	S.L.IH.T
SLOPE	S.L.OW.P
SMASH	S.M.AE.SH
SMOOTH	S.M.UW.DH
SOB	S.AA.B
SODIUM	S.OW.D.IY.AH.M
SOFA	S.OW.F.AH
SOFTWOOD	S.AO.F.T.W.UH.D
SOIL	S.OY.L
SOMEBODY	S.AH.M.B.AH.D.IY
SOMEWHAT	S.AH.M.W.AH.T
SOOTHE	S.UW.DH
SORE	S.AO.R
SORGHUM	S.AO.R.G.AH.M
SOUTH	S.AW.TH
SOUTHBOUND	S.AW.TH.B.AW.N.D
SPARKLE	S.P.AA.R.K.AH.L
SPEW	S.P.Y.UW
SPINELESS	S.P.AY.N.L.AH.S
SPLICE	S.P.L.AY.S
SPONGE	S.P.AH.N.JH
SPOUSE	S.P.AW.S
SQUABBLE	S.K.W.AA.B.AH.L
SQUAT	S.K.W.AA.T
SQUEAL	S.K.W.IY.L
SQUIRT	S.K.W.ER.T
STAIN	S.T.EY.N
STAND	S.T.AE.N.D
STANDBY	S.T.AE.N.D.B.AY
STARK	S.T.AA.R.K
STARLIGHT	S.T.AA.R.L.AY.T
STARTER	S.T.AA.R.T.ER
STARVE	S.T.AA.R.V
STATIC	S.T.AE.T.IH.K
STATION	S.T.EY.SH.AH.N
STEAL	S.T.IY.L
STICK	S.T.IH.K
STILL	S.T.IH.L
STONEWARE	S.T.OW.N.W.EH.R
STORE	S.T.AO.R
STRADDLE	S.T.R.AE.D.AH.L
STROLL	S.T.R.OW.L
STUBBORN	S.T.AH.B.ER.N
SUBSIDIZE	S.AH.B.S.IH.D.AY.Z
SUCTION	S.AH.K.SH.AH.N
SUFFICE	S.AH.F.AY.S
SUFFRAGETTE	S.AH.F.R.AH.JH.EH.T
SUGAR	SH.UH.G.ER
SUITOR	S.UW.T.ER
SUM	S.AH.M
SUMPTUOUS	S.AH.M.P.CH.W.AH.S
SUNRISE	S.AH.N.R.AY.Z
SURFACE	S.ER.F.AH.S
SURGEON	S.ER.JH.IH.N
SURGERY	S.ER.JH.ER.IY
SWAGGER	S.W.AE.G.ER
SWEAT	S.W.EH.T
SWEET	S.W.IY.T
SWIPE	S.W.AY.P
SWIVEL	S.W.IH.V.AH.L
SYMPATHY	S.IH.M.P.AH.TH.IY
SYSTEMIC	S.IH.S.T.EH.M.IH.K
TAFFY	T.AE.F.IY
TALLY	T.AE.L.IY
TALON	T.AE.L.AH.N
TAP	T.AE.P
TASTE	T.EY.S.T
TASTY	T.EY.S.T.IY
TAXATION	T.AE.K.S.EY.SH.AH.N
TEEM	T.IY.M
TEETOTALER	T.IY.T.OW.T.EY.L.ER
TELLING	T.EH.L.IH.NG
TEMPERA	T.EH.M.P.ER.AH
TEMPO	T.EH.M.P.OW
TEMPTATION	T.EH.M.T.EY.SH.AH.N
TENABLE	T.EH.N.AH.B.AH.L
TEPID	T.EH.P.IH.D
TERRIER	T.EH.R.IY.ER
TERRIFY	T.EH.R.AH.F.AY
TEXTURE	T.EH.K.S.CH.ER
THAT	DH.AH.T
THE	DH.IY
THEATRE	TH.IY.AH.T.ER
THEN	DH.EH.N
THIEF	TH.IY.F
THING	TH.IH.NG
THIRST	TH.ER.S.T
THIRTIETH	TH.ER.T.IY.IH.TH
THOROUGHFARE	TH.ER.OW.F.EH.R
THREAT	TH.R.EH.T
THREE	TH.R.IY
THROAT	TH.R.OW.T
THUNDER	TH.AH.N.D.ER
THYROID	TH.AY.R.OY.D
TICKLE	T.IH.K.AH.L
TIMELY	T.AY.M.L.IY
TIMIDLY	T.IH.M.AH.D.L.IY
TODAY	T.UW.D.EY
TOE	T.OW
TOILET	T.OY.L.AH.T
TOKEN	T.OW.K.AH.N
TOLERATION	T.AA.L.ER.EY.SH.AH.N
TOT	T.AA.T
TOUR	T.UH.R
TOW	T.OW
TRANSIT	T.R.AE.N.Z.IH.T
TRAPDOOR	T.R.AE.P.D.AO.R
TRENCH	T.R.EH.N.CH
TROPIC	T.R.AA.P.IH.K
TRUCK	T.R.AH.K
TSUNAMI	T.S.UW.N.AA.M.IY
TUITION	T.Y.UW.IH.SH.AH.N
TWENTY	T.W.EH.N.T.IY
TWIG	T.W.IH.G
TWINKLE	T.W.IH.NG.K.AH.L
TWITCH	T.W.IH.CH
UNABLE	AH.N.EY.B.AH.L
UNDERDOG	AH.N.D.ER.D.AO.G
UNDERNEATH	AH.N.D.ER.N.IY.TH
UNDOING	AH.N.D.UW.IH.NG
UNHEALTHY	AH.N.HH.EH.L.TH.IY
UNIQUE	Y.UW.N.IY.K
UNKNOWN	AH.N.N.OW.N
UNTIL	AH.N.T.IH.L
UNWORTHY	AH.N.W.ER.DH.IY
UPGRADE	AH.P.G.R.EY.D
UPHOLSTER	AH.P.OW.L.S.T.ER
UPSTREAM	AH.P.S.T.R.IY.M
USELESS	Y.UW.S.L.AH.S
USUAL	Y.UW.ZH.UW.AH.L
UTILIZE	Y.UW.T.AH.L.AY.Z
VALVE	V.AE.L.V
VAUDEVILLE	V.AA.D.V.IH.L
VECTOR	V.EH.K.T.ER
VENEER	V.AH.N.IH.R
VENERATE	V.EH.N.ER.EY.T
VENEREAL	V.AH.N.IH.R.IY.AH.L
VENTURE	V.EH.N.CH.ER
VERB	V.ER.B
VERBAL	V.ER.B.AH.L
VERSATILE	V.ER.S.AH.T.AH.L
VERTEBRAL	V.ER.T.AH.B.R.AH.L
VERTICAL	V.ER.T.IH.K.AH.L
VERTIGO	V.ER.T.IH.G.OW
VICTIMIZE	V.IH.K.T.AH.M.AY.Z
VIGNETTE	V.IY.N.Y.EH.T
VIRGINITY	V.ER.JH.IH.N.IH.T.IY
WALLOW	W.AA.L.OW
WALNUT	W.AO.L.N.AH.T
WANDERING	W.AA.N.D.ER.IH.NG
WANGLE	W.AE.NG.G.AH.L
WANTON	W.AO.N.T.AH.N
WARILY	W.EH.R.AH.L.IY
WARP	W.AO.R.P
WARRIOR	W.AO.R.Y.ER
WARSHIP	W.AO.R.SH.IH.P
WASHING	W.AA.SH.IH.NG
WAYWARD	W.EY.W.ER.D
WEAVE	W.IY.V
WEDLOCK	W.EH.D.L.AA.K
WELCOME	W.EH.L.K.AH.M
WEST	W.EH.S.T
WET	W.EH.T
WHEAT	W.IY.T
WHEEZE	W.IY.Z
WHETHER	W.EH.DH.ER
WHIMSICAL	W.IH.M.Z.IH.K.AH.L
WHIRL	W.ER.L
WHOOSH	W.UW.SH
WHORE	HH.AO.R
WHORL	W.ER.L
WIDE	W.AY.D
WIDEN	W.AY.D.AH.N
WIDESPREAD	W.AY.D.S.P.R.EH.D
WIPE	W.AY.P
WITH	W.IH.TH
WITHIN	W.IH.TH.IH.N
WITNESS	W.IH.T.N.AH.S
WONDERFULLY	W.AH.N.D.ER.F.L.IY
WOOD	W.UH.D
WOODWIND	W.UH.D.W.IH.N.D
WORST	W.ER.S.T
WORSTED	W.ER.S.T.IH.D
WORTHWHILE	W.ER.TH.W.AY.L
WORTHY	W.ER.DH.IY
WOW	W.AW
WRESTLE	R.EH.S.AH.L
YACHT	Y.AA.T
YELP	Y.EH.L.P
YOUNGSTER	Y.AH.NG.S.T.ER
YOUTHFUL	Y.UW.TH.F.AH.L
ZEALOUSLY	Z.IY.L.AH.S.L.IY
